Index,Tag,Spine #,Title,Director,Country,Year,豆瓣电影,豆瓣年份,豆瓣打分,豆瓣信息
320,spine,321,The Virgin Spring,Ingmar Bergman,Sweden,1960,[处女泉 Jungfrukällan](https://movie.douban.com/subject/1293156/),1960,8.6,"导演: 英格玛·伯格曼, 类型: 犯罪, 地区: 瑞典"
321,spine,322,The Complete Mr. Arkadin,Orson Welles,United States,1955,[阿卡丁先生 Mr. Arkadin](https://movie.douban.com/subject/1303567/),1955,7.8,"导演: 奥逊·威尔斯, 类型: 剧情, 地区: 法国/西班牙/瑞士"
322,spine,323,The Children Are Watching Us,Vittorio De Sica,Italy,1944,[孩子在看着我们 I bambini ci guardano](https://movie.douban.com/subject/1294236/),1944,8.1,"导演: 维托里奥·德西卡, 类型: 剧情, 地区: 意大利"
323,spine,324,La bête humaine,Jean Renoir,France,1938,[衣冠禽兽 La bête humaine](https://movie.douban.com/subject/1436858/),1938,7.4,"导演: 让·雷诺阿, 类型: 剧情, 地区: 法国"
324,spine,325,Kind Hearts and Coronets,Robert Hamer,United Kingdom,1949,[仁心与冠冕 Kind Hearts and Coronets](https://movie.douban.com/subject/1295995/),1949,8.5,"导演: 罗伯特·哈默, 类型: 喜剧, 地区: 英国"
325,spine,326,Metropolitan,Whit Stillman,United States,1990,[大市民 Metropolitan](https://movie.douban.com/subject/1303915/),1990,7.7,"导演: 惠特·斯蒂尔曼, 类型: 喜剧, 地区: 美国"
326,spine-boxsets,327,3 Films by Louis Malle, , , , , , , 
327,spine,328,Murmur of the Heart,Louis Malle,France,1971,[好奇心 Le souffle au cœur](https://movie.douban.com/subject/1297201/),1971,7.7,"导演: 路易·马勒, 类型: 剧情, 地区: 法国/意大利/西德"
328,spine,329,"Lacombe, Lucien",Louis Malle,France,1974,[拉孔布·吕西安 Lacombe Lucien](https://movie.douban.com/subject/1432637/),1974,8.1,"导演: 路易·马勒, 类型: 剧情, 地区: 法国/意大利/西德"
329,spine,330,Au revoir les enfants,Louis Malle,France,1987,[再见，孩子们 Au revoir les enfants](https://movie.douban.com/subject/1292586/),1987,8.5,"导演: 路易·马勒, 类型: 剧情, 地区: 法国/西德/意大利"
330,spine,331,Late Spring,Yasujiro Ozu,Japan,1949,[晚春 晩春](https://movie.douban.com/subject/1307265/),1949,8.7,"导演: 小津安二郎, 类型: 剧情, 地区: 日本"
331,spine,332,Viridiana,Luis Buñuel,Spain,1961,[维莉蒂安娜 Viridiana](https://movie.douban.com/subject/1303557/),1961,8.6,"导演: 路易斯·布努埃尔, 类型: 剧情, 地区: 西班牙/墨西哥"
332,spine,333,Fists in the Pocket,Marco Bellocchio,Italy,1965,[口袋里的拳头 I pugni in tasca](https://movie.douban.com/subject/1401620/),1965,7.7,"导演: 马可·贝洛基奥, 类型: 剧情, 地区: 意大利"
333,spine,334,Harlan County USA,Barbara Kopple,United States,1976,"[美国哈兰县 Harlan County, U.S.A.](https://movie.douban.com/subject/1294724/)",1976,8.6,"导演: 芭芭拉·卡颇, 类型: 纪录片, 地区: 美国"
334,spine,335,Elevator to the Gallows,Louis Malle,France,1958,[通往绞刑架的电梯 Ascenseur pour l'échafaud](https://movie.douban.com/subject/1394342/),1958,8.3,"导演: 路易·马勒, 类型: 剧情, 地区: 法国"
335,spine,336,Dazed and Confused,Richard Linklater,United States,1993,[年少轻狂 Dazed and Confused](https://movie.douban.com/subject/1294720/),1993,7.2,"导演: 理查德·林克莱特, 类型: 喜剧, 地区: 美国"
336,spine,337,À nos amours,Maurice Pialat,France,1983,关于我们的爱情, , ,imbd-[tt0086650](https://www.imdb.com/title/tt0086650)
337,spine,338,Equinox,Jack Woods,United States,1970,[黎明前的野兽 Equinox](https://movie.douban.com/subject/1743692/),1970,5.8,"导演: Jack Woods, 类型: 恐怖, 地区: 美国"
338,spine,339,Yi Yi,Edward Yang,Taiwan,2000,[一一](https://movie.douban.com/subject/1292434/),2000,9.1,"导演: 杨德昌, 类型: 剧情, 地区: 中国台湾/日本"
339,spine,340,Koko: A Talking Gorilla,Barbet Schroeder,France,1978,"[科科：会说话的大猩猩 Koko, le gorille qui parle](https://movie.douban.com/subject/1765574/)",1978,8.2,"导演: 巴贝特·施罗德, 类型: 纪录片, 地区: 法国"
340,spine,341,A Canterbury Tale,Michael Powell and Emeric Pressburger,United Kingdom,1944,[夜夜春宵 A Canterbury Tale](https://movie.douban.com/subject/1295943/),1944,7.3,"导演: 迈克尔·鲍威尔, 类型: 喜剧, 地区: 英国"
341,spine-boxsets,342,Six Moral Tales, , , , , , , 
342,spine,343,The Bakery Girl of Monceau,Eric Rohmer,France,1963,[面包店的女孩 La boulangère de Monceau](https://movie.douban.com/subject/1394348/),1963,8.2,"导演: 埃里克·侯麦, 类型: 爱情, 地区: 法国"
343,spine,344,Suzanne’s Career,Eric Rohmer,France,1963,[苏姗娜的故事 La carrière de Suzanne](https://movie.douban.com/subject/1293030/),1963,7.2,"导演: 埃里克·侯麦, 类型: 剧情, 地区: 法国"
344,spine,345,My Night at Maud’s,Eric Rohmer,France,1969,[慕德家一夜 Ma nuit chez Maud](https://movie.douban.com/subject/1296283/),1969,8.3,"导演: 埃里克·侯麦, 类型: 剧情, 地区: 法国"
345,spine,346,La collectionneuse,Eric Rohmer,France,1967,[女收藏家 La collectionneuse](https://movie.douban.com/subject/1297344/),1967,7.8,"导演: 埃里克·侯麦, 类型: 剧情, 地区: 法国"
346,spine,347,Claire’s Knee,Eric Rohmer,France,1970,[克莱尔的膝盖 Le genou de Claire](https://movie.douban.com/subject/1294915/),1970,7.8,"导演: 埃里克·侯麦, 类型: 剧情, 地区: 法国"
347,spine,348,Love in the Afternoon,Eric Rohmer,France,1972,[午后之爱 L'amour l'après-midi](https://movie.douban.com/subject/1293963/),1972,8.4,"导演: 埃里克·侯麦, 类型: 剧情, 地区: 法国"
348,spine,349,Kicking and Screaming,Noah Baumbach,United States,1995,[疯狂二十年华 Kicking and Screaming](https://movie.douban.com/subject/1303435/),1995,7.2,"导演: 诺亚·鲍姆巴赫, 类型: 剧情, 地区: 美国"
349,spine,350,Seduced and Abandoned,Pietro Germi,Italy,1964,[被诱惑被遗弃的女人 Sedotta e abbandonata](https://movie.douban.com/subject/1295801/),1964,8.0,"导演: 皮亚托·杰米, 类型: 喜剧, 地区: 意大利/法国"
350,spine,351,The Spirit of the Beehive,Víctor Erice,Spain,1973,[蜂巢幽灵 El espíritu de la colmena](https://movie.douban.com/subject/1401900/),1973,8.5,"导演: 维克多·艾里斯, 类型: 剧情, 地区: 西班牙"
351,spine,352,Jigoku,Nobuo Nakagawa,Japan,1960,[地狱 地獄](https://movie.douban.com/subject/1764189/),1960,6.8,"导演: 中川信夫, 类型: 剧情, 地区: 日本"
352,spine,353,Sólo con tu pareja,Alfonso Cuarón,Mexico,1991,[爱在歇斯底里时 Sólo con tu pareja](https://movie.douban.com/subject/1468030/),1991,7.2,"导演: 阿方索·卡隆, 类型: 喜剧, 地区: 墨西哥"
353,spine,354,"Clean, Shaven",Lodge Kerrigan,United States,1994,"[梦幻狂杀 Clean, Shaven](https://movie.douban.com/subject/1498848/)",1993,7.4,"导演: 洛奇·科里根, 类型: 犯罪, 地区: 美国"
354,spine,355,Hands over the City,Francesco Rosi,Italy,1963,[城市上空的手 Le mani sulla città](https://movie.douban.com/subject/1295463/),1963,7.6,"导演: 弗朗西斯科·罗西, 类型: 剧情, 地区: 意大利/法国"
355,spine,356,Sweetie,Jane Campion,New Zealand,1989,[甜妹妹 Sweetie](https://movie.douban.com/subject/1298736/),1989,7.3,"导演: 简·坎皮恩, 类型: 喜剧, 地区: 澳大利亚"
356,spine,357,The Fallen Idol,Carol Reed,United Kingdom,1948,[堕落的偶像 The Fallen Idol](https://movie.douban.com/subject/1476698/),1948,7.9,"导演: 卡罗尔·里德, 类型: 剧情, 地区: 英国"
357,spine,358,Pandora’s Box,G. W. Pabst,Germany,1929,[潘多拉的魔盒 Die Büchse der Pandora](https://movie.douban.com/subject/1401368/),1929,8.2,"导演: G·W·帕布斯特, 类型: 犯罪, 地区: 德国"
358,spine,359,The Double Life of Véronique,Krzysztof Kieślowski,France,1991,[两生花 La Double vie de Véronique](https://movie.douban.com/subject/1291877/),1991,8.4,"导演: 克日什托夫·基耶斯洛夫斯基, 类型: 剧情, 地区: 法国/波兰/挪威"
359,spine-films,360,Symbiopsychotaxiplasm: Two Takes by William Greaves,William Greaves,United States, , , , , 
360,spine,361,The Beales of Grey Gardens,Albert Maysles and David Maysles,United States,2006,[灰色花园中的比尔母女 The Beales of Grey Gardens](https://movie.douban.com/subject/1876329/),2006,7.6,"导演: 阿尔伯特·梅索斯, 类型: 纪录片, 地区: 美国"
361,spine,362,Border Radio,"Allison Anders, Dean Lent, and Kurt Voss",United States,1987,[边境收音机 Border Radio](https://movie.douban.com/subject/1904185/),1999,7.0,"导演: 阿利森·安德斯, 类型: 剧情, 地区: 美国"
362,spine,363,Mouchette,Robert Bresson,France,1967,[穆谢特 Mouchette](https://movie.douban.com/subject/1302413/),1967,8.5,"导演: 罗伯特·布列松, 类型: 剧情, 地区: 法国"
363,spine-boxsets,364,Monsters and Madmen, , , , , , , 
364,spine,365,First Man into Space,Robert Day,United States,1959,[太空第一人 First Man Into Space](https://movie.douban.com/subject/1293814/),1959,5.5,"导演: 罗伯特·戴, 类型: 剧情, 地区: 英国"
365,spine,366,The Atomic Submarine,Spencer G. Bennet,United States,1959,[核潜艇 The Atomic Submarine](https://movie.douban.com/subject/1294329/),1959,5.2,"导演: Spencer Gordon Bennet, 类型: 科幻, 地区: 美国"
366,spine,367,The Haunted Strangler,Robert Day,United States,1958,[鬼杀手 Grip of the Strangler](https://movie.douban.com/subject/1293061/),1958,6.0,"导演: 罗伯特·戴, 类型: 犯罪, 地区: 英国"
367,spine,368,Corridors of Blood,Robert Day,United States,1959,[血回廊 Corridors of Blood](https://movie.douban.com/subject/1904183/),1958,6.4,"导演: 罗伯特·戴, 类型: 犯罪, 地区: 英国"
368,spine-boxsets,369,Paul Robeson: Portraits of the Artist, , , , , , , 
369,spine,370,The Emperor Jones,Dudley Murphy,United States,1933,[琼斯皇 The Emperor Jones](https://movie.douban.com/subject/1922044/),1933, ,"导演: 达德利·墨菲, 类型: 剧情, 地区: 美国"
370,spine,371,Body and Soul,Oscar Micheaux,United States,1925,[灵与肉 Body and Soul](https://movie.douban.com/subject/1924243/),1925,7.6,"导演: 奥斯卡·米绍, 类型: 剧情, 地区: 美国"
371,spine,372,Sanders of the River,Zoltán Korda,United Kingdom,1935,[河之檀木 Sanders of the River](https://movie.douban.com/subject/1924246/),1935, ,"导演: 佐尔坦·科达 Zoltan Korda, 类型: 剧情, 地区: 英国"
372,spine,373,The Proud Valley,Pen Tennyson,United Kingdom,1940,[骄傲的山谷 The Proud Valley](https://movie.douban.com/subject/1924251/),1940, ,"导演: Pen Tennyson, 类型: 剧情, 地区: 英国"
373,spine,374,Bicycle Thieves,Vittorio De Sica,Italy,1948,[偷自行车的人 Ladri di biciclette](https://movie.douban.com/subject/1295873/),1948,9.1,"导演: 维托里奥·德西卡, 类型: 犯罪, 地区: 意大利"
374,spine,375,Green for Danger,Sidney Gilliat,United Kingdom,1946,[绿色惨案 Green for Danger](https://movie.douban.com/subject/1297944/),1946,7.0,"导演: 西德尼·吉里亚特, 类型: 犯罪, 地区: 英国"
375,spine,376,49th Parallel,Michael Powell,United Kingdom,1941,[魔影袭人来 49th Parallel](https://movie.douban.com/subject/1293592/),1941,7.3,"导演: 迈克尔·鲍威尔, 类型: 剧情, 地区: 英国"
376,spine,377,When a Woman Ascends the Stairs,Mikio Naruse,Japan,1960,[女人步上楼梯时 女が階段を上る時](https://movie.douban.com/subject/1419479/),1960,9.1,"导演: 成濑巳喜男, 类型: 剧情, 地区: 日本"
377,spine,378,Fires on the Plain,Kon Ichikawa,Japan,1959,[野火](https://movie.douban.com/subject/1296872/),1959,8.2,"导演: 市川昆, 类型: 剧情, 地区: 日本"
378,spine,379,The Burmese Harp,Kon Ichikawa,Japan,1956,[缅甸的竖琴 ビルマの竪琴](https://movie.douban.com/subject/1303090/),1956,7.9,"导演: 市川昆, 类型: 剧情, 地区: 日本"
379,spine,380,The Naked City,Jules Dassin,United States,1948,[不夜城 The Naked City](https://movie.douban.com/subject/1299245/),1948,8.0,"导演: 朱尔斯·达辛, 类型: 犯罪, 地区: 美国"
380,spine,381,La haine,Mathieu Kassovitz,France,1995,[怒火青春 La Haine](https://movie.douban.com/subject/1306449/),1995,8.3,"导演: 马修·卡索维茨, 类型: 犯罪, 地区: 法国"
381,spine,382,Overlord,Stuart Cooper,United Kingdom,1975,[大君主 Overlord](https://movie.douban.com/subject/1295876/),1975,7.6,"导演: 斯图尔特·库柏, 类型: 剧情, 地区: 英国"
382,spine,383,Brute Force,Jules Dassin,United States,1947,[血溅虎头门 Brute Force](https://movie.douban.com/subject/1464169/),1947,7.8,"导演: 朱尔斯·达辛, 类型: 犯罪, 地区: 美国"
383,spine,384,Vengeance Is Mine,Shohei Imamura,Japan,1979,[复仇在我 復讐するは我にあり](https://movie.douban.com/subject/1294940/),1979,8.5,"导演: 今村昌平, 类型: 剧情, 地区: 日本"
384,spine,385,Army of Shadows,Jean-Pierre Melville,France,1969,[影子部队 L'armée des ombres](https://movie.douban.com/subject/1466419/),1969,8.6,"导演: 让-皮埃尔·梅尔维尔, 类型: 剧情, 地区: 法国/意大利"
385,spine,386,Sansho the Bailiff,Kenji Mizoguchi,Japan,1954,[山椒大夫](https://movie.douban.com/subject/1303573/),1954,8.1,"导演: 沟口健二, 类型: 剧情, 地区: 日本"
386,spine-boxsets,387,La Jetée/Sans Soleil, , , , , , , 
387,spine,388,The Two of Us,Claude Berri,France,1967,[老人与小孩 Le vieil homme et l'enfant](https://movie.douban.com/subject/1302428/),1967,8.0,"导演: 克劳德·贝里, 类型: 喜剧, 地区: 法国"
388,spine,389,WR: Mysteries of the Organism,Dušan Makavejev,Yugoslavia,1971,[有机体的秘密 W.R. - Misterije organizma](https://movie.douban.com/subject/1845260/),1971,7.6,"导演: 杜尚·马卡维耶夫, 类型: 喜剧, 地区: 西德/南斯拉夫"
389,spine,390,Sweet Movie,Dušan Makavejev,France,1974,[甜蜜电影 Sweet Movie](https://movie.douban.com/subject/1466290/),1974,7.2,"导演: 杜尚·马卡维耶夫, 类型: 剧情, 地区: 法国/西德/加拿大"
390,spine,391,If....,Lindsay Anderson,United Kingdom,1969,[如果 If....](https://movie.douban.com/subject/1307973/),1968,8.1,"导演: 林赛·安德森, 类型: 剧情, 地区: 英国"
391,spine-boxsets,392,Three Films by Hiroshi Teshigahara, , , , , , , 
392,spine,393,Pitfall,Hiroshi Teshigahara,Japan,1962,[陷阱 おとし穴](https://movie.douban.com/subject/1432780/),1962,8.0,"导演: 敕使河原宏, 类型: 犯罪, 地区: 日本"
393,spine,394,Woman in the Dunes,Hiroshi Teshigahara,Japan,1964,[砂之女 砂の女](https://movie.douban.com/subject/1295812/),1964,8.6,"导演: 敕使河原宏, 类型: 剧情, 地区: 日本"
394,spine,395,The Face of Another,Hiroshi Teshigahara,Japan,1966,[他人之颜 他人の顔](https://movie.douban.com/subject/1432779/),1966,8.4,"导演: 敕使河原宏, 类型: 剧情, 地区: 日本"
395,spine,396,Ace in the Hole,Billy Wilder,United States,1951,[倒扣的王牌 Ace in the Hole](https://movie.douban.com/subject/1293841/),1951,8.7,"导演: 比利·怀尔德, 类型: 剧情, 地区: 美国"
396,spine,397,Ivan’s Childhood,Andrei Tarkovsky,Soviet Union,1962,[伊万的童年 Иваново детство](https://movie.douban.com/subject/1294421/),1962,8.8,"导演: 安德烈·塔可夫斯基, 类型: 剧情, 地区: 苏联"
397,spine,398,Les enfants terribles,Jean-Pierre Melville,France,1950,[可怕的孩子们 Les enfants terribles](https://movie.douban.com/subject/1302072/),1950,7.4,"导演: 让-皮埃尔·梅尔维尔, 类型: 剧情, 地区: 法国"
398,spine,399,House of Games,David Mamet,United States,1987,[赌场 House of Games](https://movie.douban.com/subject/1303136/),1987,7.6,"导演: 大卫·马梅, 类型: 犯罪, 地区: 美国"
399,spine,400,Stranger Than Paradise,Jim Jarmusch,United States,1984,[天堂陌影 Stranger Than Paradise](https://movie.douban.com/subject/1303723/),1984,8.5,"导演: 吉姆·贾木许, 类型: 剧情, 地区: 美国/西德"
400,spine,401,Night on Earth,Jim Jarmusch,United States,1991,[地球之夜 Night on Earth](https://movie.douban.com/subject/1301498/),1991,8.2,"导演: 吉姆·贾木许, 类型: 喜剧, 地区: 法国/英国/德国/美国/日本"
401,spine,402,The Milky Way,Luis Buñuel,France,1969,[银河 La voie lactée](https://movie.douban.com/subject/1441509/),1969,7.6,"导演: 路易斯·布努埃尔, 类型: 喜剧, 地区: 法国/意大利/西德"
402,spine,403,Cría cuervos . . .,Carlos Saura,Spain,1976,[饲养乌鸦 Cría cuervos](https://movie.douban.com/subject/1303813/),1976,8.5,"导演: 卡洛斯·绍拉, 类型: 剧情, 地区: 西班牙"
403,spine,404,Robinson Crusoe on Mars,Byron Haskin,United States,1964,[鲁宾逊太空历险 Robinson Crusoe on Mars](https://movie.douban.com/subject/1298361/),1964,6.0,"导演: 拜伦·哈斯金, 类型: 科幻, 地区: 美国"
404,spine,405,The Threepenny Opera,G. W. Pabst,Germany,1931,[三分钱歌剧 L'Opéra de quat'sous](https://movie.douban.com/subject/3069340/),1931,7.2,"导演: G·W·帕布斯特, 类型: 喜剧, 地区: 德国/美国"
405,spine-films,406,Martha Graham: Dance on Film,Nathan Kroll,United States,1959, , , , 
406,spine,407,Mala Noche,Gus Van Sant,United States,1985,[夜深沉，爱难吟 Mala Noche](https://movie.douban.com/subject/1306451/),1986,7.6,"导演: 格斯·范·桑特, 类型: 剧情, 地区: 美国"
407,spine,408,Breathless,Jean-Luc Godard,France,1960,[精疲力尽 À bout de souffle](https://movie.douban.com/subject/1353745/),1960,8.4,"导演: 让-吕克·戈达尔, 类型: 剧情, 地区: 法国"
408,spine,409,Days of Heaven,Terrence Malick,United States,1978,[天堂之日 Days of Heaven](https://movie.douban.com/subject/1293232/),1978,7.9,"导演: 泰伦斯·马力克, 类型: 剧情, 地区: 美国"
409,spine,410,Under the Volcano,John Huston,United States,1984,[在火山下 Under the Volcano](https://movie.douban.com/subject/1295993/),1984,6.6,"导演: 约翰·休斯顿, 类型: 剧情, 地区: 美国/墨西哥"
410,spine,411,Berlin Alexanderplatz,Rainer Werner Fassbinder,Germany,1980,[柏林亚历山大广场 Berlin Alexanderplatz](https://movie.douban.com/subject/1300660/),1980,8.9,"导演: 赖纳·维尔纳·法斯宾德, 类型: 剧情, 地区: 意大利/西德"
411,spine,412,Sawdust and Tinsel,Ingmar Bergman,Sweden,1953,[小丑之夜 Gycklarnas afton](https://movie.douban.com/subject/1300957/),1953,8.0,"导演: 英格玛·伯格曼, 类型: 剧情, 地区: 瑞典"
412,spine,413,Drunken Angel,Akira Kurosawa,Japan,1948,[泥醉天使 醉いどれ天使](https://movie.douban.com/subject/1294859/),1948,8.1,"导演: 黑泽明, 类型: 犯罪, 地区: 日本"
413,spine,414,Two-Lane Blacktop,Monte Hellman,United States,1971,[双车道柏油路 Two-lane Blacktop](https://movie.douban.com/subject/1868546/),1971,7.6,"导演: 蒙特·赫尔曼, 类型: 剧情, 地区: 美国"
414,spine,415,The Naked Prey,Cornel Wilde,United States,1965,[裸杀万里追 The Naked Prey](https://movie.douban.com/subject/1304237/),1965,7.2,"导演: 柯纳·王尔德, 类型: 冒险, 地区: 美国/南非"
415,spine,416,Miss Julie,Alf Sjöberg,Sweden,1951,[朱丽小姐 Fröken Julie](https://movie.douban.com/subject/1471839/),1951,7.8,"导演: 阿尔夫·斯约堡, 类型: 剧情, 地区: 瑞典"
416,spine,417,This Sporting Life,Lindsay Anderson,United Kingdom,1963,[如此运动生涯 This Sporting Life](https://movie.douban.com/subject/1297865/),1963,7.8,"导演: 林赛·安德森, 类型: 剧情, 地区: 英国"
417,spine-boxsets,418,4 by Agnès Varda, , , , , , , 
418,spine,419,La Pointe Courte,Agnès Varda,France,1955,[短岬村 La pointe-courte](https://movie.douban.com/subject/1297682/),1955,7.6,"导演: 阿涅斯·瓦尔达, 类型: 剧情, 地区: 法国"
419,spine,420,Le bonheur,Agnès Varda,France,1965,[幸福 Le bonheur](https://movie.douban.com/subject/1483516/),1965,8.3,"导演: 阿涅斯·瓦尔达, 类型: 剧情, 地区: 法国"
420,spine,421,Pierrot le fou,Jean-Luc Godard,France,1965,[狂人皮埃罗 Pierrot le fou](https://movie.douban.com/subject/1292533/),1965,8.4,"导演: 让-吕克·戈达尔, 类型: 剧情, 地区: 法国/意大利"
421,spine,422,The Last Emperor,Bernardo Bertolucci,China,1987,[末代皇帝 The Last Emperor](https://movie.douban.com/subject/1293172/),1987,9.3,"导演: 贝纳尔多·贝托鲁奇, 类型: 剧情, 地区: 英国/意大利/中国大陆/法国"
422,spine,423,Walker,Alex Cox,United States,1987,[烽火怪杰 Walker](https://movie.douban.com/subject/1305051/),1987,7.1,"导演: 亚力克斯·考克斯, 类型: 剧情, 地区: 美国/西班牙/新西兰"
423,spine,424,Mafioso,Alberto Lattuada,Italy,1962,[黑手党人 Mafioso](https://movie.douban.com/subject/1962145/),1962,7.7,"导演: 阿尔贝托·拉图瓦达, 类型: 喜剧, 地区: 意大利"
424,spine,425,Antonio Gaudí,Hiroshi Teshigahara,Japan,1984,[安东尼奥·高迪 Antonio Gaudí](https://movie.douban.com/subject/1418492/),1984,7.7,"导演: 敕使河原宏, 类型: 纪录片, 地区: 日本"
425,spine,426,The Ice Storm,Ang Lee,United States,1997,[冰风暴 The Ice Storm](https://movie.douban.com/subject/1300930/),1997,7.9,"导演: 李安, 类型: 剧情, 地区: 美国"
426,spine,427,Death of a Cyclist,Juan Antonio Bardem,Spain,1955,[骑车人之死 Muerte de un ciclista](https://movie.douban.com/subject/1475649/),1955,7.9,"导演: 胡安·安东尼奥·巴登, 类型: 剧情, 地区: 西班牙/意大利"
427,spine,428,Blast of Silence,Allen Baron,United States,1961,[沉默中爆发 Blast of Silence](https://movie.douban.com/subject/2382777/),1961,7.6,"导演: 艾伦·巴隆, 类型: 剧情, 地区: 美国"
428,spine,429,The Lovers,Louis Malle,France,1958,[情人们 Les amants](https://movie.douban.com/subject/1296250/),1958,7.7,"导演: 路易·马勒, 类型: 剧情, 地区: 法国"
429,spine,430,The Fire Within,Louis Malle,France,1963,[鬼火 Le feu follet](https://movie.douban.com/subject/1395247/),1963,8.2,"导演: 路易·马勒, 类型: 剧情, 地区: 法国"
430,spine,431,The Thief of Bagdad,"Ludwig Berger, Michael Powell, and Tim Whelan",United Kingdom,1940,[巴格达妙贼 The Thief of Bagdad](https://movie.douban.com/subject/1293444/),1940,7.6,"导演: 路德维希·贝格尔, 类型: 冒险, 地区: 英国"
431,spine,432,Mishima: A Life in Four Chapters,Paul Schrader,United States,1985,[三岛由纪夫传 Mishima: A Life in Four Chapters](https://movie.douban.com/subject/1305345/),1985,7.7,"导演: 保罗·施拉德, 类型: 传记, 地区: 美国/日本"
432,spine,433,Patriotism,Yukio Mishima and Domoto Masaki,Japan,1966,[忧国 憂國](https://movie.douban.com/subject/1437480/),1966,7.2,"导演: 三岛由纪夫, 类型: 剧情, 地区: 日本"
433,spine,434,Classe tous risques,Claude Sautet,France,1960,[冒一切风险的阶级 Classe tous risques](https://movie.douban.com/subject/1783575/),1960,8.0,"导演: 克洛德·索泰, 类型: 犯罪, 地区: 法国/意大利"
434,spine,435,The Furies,Anthony Mann,United States,1950,[复仇女神 The Furies](https://movie.douban.com/subject/2139359/),1950,7.2,"导演: 安东尼·曼, 类型: 剧情, 地区: 美国"
435,spine,436,Before the Rain,Milcho Manchevski,Republic of Macedonia,1994,[暴雨将至 Пред дождот](https://movie.douban.com/subject/1303036/),1994,8.6,"导演: 米尔科·曼彻夫斯基, 类型: 剧情, 地区: 马其顿/法国/英国"
436,spine,437,Vampyr,Carl Th. Dreyer,Denmark,1932,[吸血鬼 Vampyr](https://movie.douban.com/subject/1300749/),1932,7.8,"导演: 卡尔·西奥多·德莱叶, 类型: 奇幻, 地区: 德国/法国"
437,spine,438,Mon oncle Antoine,Claude Jutra,Canada,1971,[安冬万叔叔 Mon oncle Antoine](https://movie.douban.com/subject/1304873/),1971,7.6,"导演: 克洛德·朱特拉, 类型: 剧情, 地区: 加拿大"
438,spine,439,Trafic,Jacques Tati,France,1971,[交通意外 Trafic](https://movie.douban.com/subject/2007345/),1971,7.9,"导演: 雅克·塔蒂, 类型: 喜剧, 地区: 法国/意大利"
439,spine,440,Brand upon the Brain!,Guy Maddin,Canada,2006,[心灵烙码 Brand Upon the Brain!](https://movie.douban.com/subject/1998458/),2006,7.6,"导演: 盖伊·马丁, 类型: 剧情, 地区: 美国/加拿大"
440,spine,441,The Small Back Room,Michael Powell and Emeric Pressburger,United Kingdom,1949,[小后屋 The Small Back Room](https://movie.douban.com/subject/1476630/),1949,7.0,"导演: 迈克尔·鲍威尔, 类型: 剧情, 地区: 英国"
441,spine,442,Twenty-Four Eyes,Keisuke Kinoshita,Japan,1954,[二十四只眼睛 二十四の瞳](https://movie.douban.com/subject/1306807/),1954,8.5,"导演: 木下惠介, 类型: 剧情, 地区: 日本"
442,spine,443,La ronde,Max Ophuls,France,1950,[轮舞 La ronde](https://movie.douban.com/subject/1294304/),1950,7.9,"导演: 马克斯·奥菲尔斯, 类型: 剧情, 地区: 法国"
443,spine,444,Le plaisir,Max Ophuls,France,1952,[欢愉 Le plaisir](https://movie.douban.com/subject/1848300/),1952,8.2,"导演: 马克斯·奥菲尔斯, 类型: 喜剧, 地区: 法国"
444,spine,445,The Earrings of Madame de . . .,Max Ophuls,France,1953,[伯爵夫人的耳环 Madame de...](https://movie.douban.com/subject/1301122/),1953,8.1,"导演: 马克斯·奥菲尔斯, 类型: 剧情, 地区: 法国/意大利"
445,spine,446,An Autumn Afternoon,Yasujiro Ozu,Japan,1962,[秋刀鱼之味 秋刀魚の味](https://movie.douban.com/subject/1294433/),1962,8.7,"导演: 小津安二郎, 类型: 剧情, 地区: 日本"
446,spine,447,Le doulos,Jean-Pierre Melville,France,1962,[眼线 Le doulos](https://movie.douban.com/subject/1466414/),1962,8.0,"导演: 让-皮埃尔·梅尔维尔, 类型: 犯罪, 地区: 法国/意大利"
447,spine,448,Le deuxième souffle,Jean-Pierre Melville,France,1966,[第二口气 Le deuxième souffle](https://movie.douban.com/subject/1438068/),1966,8.2,"导演: 让-皮埃尔·梅尔维尔, 类型: 犯罪, 地区: 法国"
448,spine,449,Missing,Costa-Gavras,United States,1982,[大失踪 Missing](https://movie.douban.com/subject/1292927/),1982,7.8,"导演: 科斯塔-加夫拉斯, 类型: 剧情, 地区: 美国/墨西哥"
449,spine,450,Bottle Rocket,Wes Anderson,United States,1996,[瓶装火箭 Bottle Rocket](https://movie.douban.com/subject/1294548/),1996,7.1,"导演: 韦斯·安德森, 类型: 剧情, 地区: 美国"
450,spine,451,Fanfan la Tulipe,Christian-Jaque,France,1952,[花开骑士 Fanfan la Tulipe](https://movie.douban.com/subject/1298539/),1952,7.4,"导演: 克里斯蒂昂-雅克, 类型: 冒险, 地区: 意大利/法国"
451,spine,452,The Spy Who Came in from the Cold,Martin Ritt,United States,1965,[柏林谍影 The Spy Who Came in from the Cold](https://movie.douban.com/subject/1293190/),1965,8.4,"导演: 马丁·里特, 类型: 剧情, 地区: 英国"
452,spine,453,Chungking Express,Wong Kar Wai,Hong Kong,1994,[重庆森林 重慶森林](https://movie.douban.com/subject/1291999/),1994,8.8,"导演: 王家卫, 类型: 剧情, 地区: 中国香港"
