Index,Type 类别,Title 电影,Director 导演,Writer 编剧,Actor 主演,Rank 排名,Score 打分,Votes 人数,Comment 短评,Review 影评,Alias 别名,Year 年份,Region 地区,Genre 类型,Length 片长,IMDb
132,电影,[一个叫欧维的男人决定去死 En man som heter Ove](https://movie.douban.com/subject/26628357/),汉内斯·赫尔姆,汉内斯·赫尔姆 / 弗雷德里克·巴克曼,罗夫·拉斯加德 / 巴哈·帕斯 / ...,🎉133,🌟8.9,490919,134655,2118,En man som heter Ove / 明天别再来敲门(台) / 想死冇咁易(港) / 叫欧裴的男人 / 欧维决定去死 / A Man Called Ove / Mr. Ove,2015,瑞典,剧情,116分钟,[tt4080728](https://imdb.com/title/tt4080728)
133,电影,[教父3 The Godfather: Part III](https://movie.douban.com/subject/1294240/),弗朗西斯·福特·科波拉,马里奥·普佐 / 弗朗西斯·福特·科波拉,阿尔·帕西诺 / 黛安·基顿 / ...,🎉134,🌟9.0,379702,50893,611,"The Godfather: Part III / 教父第三集 / 教父 III / 马里奥·普佐的教父终章：迈克·柯里昂之死 / Mario Puzo’s The Godfather, Coda: The Death of Michael Corleone",1990,美国,剧情 / 犯罪,162分钟 / 170分钟 / 157分钟(导演剪辑版),[tt0099674](https://imdb.com/title/tt0099674)
134,电影,"[怪兽电力公司 Monsters, Inc.](https://movie.douban.com/subject/1291579/)",彼特·道格特 / 大卫·西尔弗曼 / 李·昂克里奇,安德鲁·斯坦顿 / 丹尼尔·吉尔森 / 罗伯特·L·贝尔德 / 瑞特·里斯 / 乔纳森·罗伯特 / 彼特·道格特 / 杰夫·皮金 / 吉尔·卡尔顿 / 拉夫·埃格尔斯顿,约翰·古德曼 / 比利·克里斯托 / ...,🎉135,🌟8.8,681915,88320,392,"Monsters, Inc. / 怪兽公司(港) / 怪物公司",2001,美国,喜剧 / 动画 / 儿童 / 奇幻 / 冒险,92分钟,[tt0198781](https://imdb.com/title/tt0198781)
135,电影,[萤火之森 蛍火の杜へ](https://movie.douban.com/subject/5989818/),大森贵弘,绿川幸,佐仓绫音 / 内山昂辉 / ...,🎉136,🌟8.9,546620,119605,1230,蛍火の杜へ / 萤火之社 / Hotarubi no mori e / To the Forest of Firefly Lights,2011,日本,剧情 / 爱情 / 动画 / 奇幻,45分钟,[tt2061702](https://imdb.com/title/tt2061702)
136,电影,[傲慢与偏见 Pride & Prejudice](https://movie.douban.com/subject/1418200/),乔·赖特,简·奥斯汀 / 黛博拉·莫盖茨,凯拉·奈特莉 / 马修·麦克费登 / ...,🎉137,🌟8.7,811862,177751,2480,Pride & Prejudice / 傲慢与偏见2005 / Pride And Prejudice,2005,法国 / 英国 / 美国,剧情 / 爱情,129 分钟 / 135 分钟(加拿大),[tt0414387](https://imdb.com/title/tt0414387)
137,电影,[玩具总动员3 Toy Story 3](https://movie.douban.com/subject/1858711/),李·昂克里奇,迈克尔·阿恩特 / 约翰·拉塞特 / 安德鲁·斯坦顿 / 李·昂克里奇,汤姆·汉克斯 / 蒂姆·艾伦 / ...,🎉138,🌟8.9,524925,90712,1147,Toy Story 3 / 反斗奇兵3(港) / 玩具的故事3,2010,美国,喜剧 / 动画 / 奇幻 / 冒险,103分钟,[tt0435761](https://imdb.com/title/tt0435761)
138,电影,[新世界 신세계](https://movie.douban.com/subject/10437779/),朴勋政,朴勋政,李政宰 / 崔岷植 / ...,🎉139,🌟8.9,444154,105644,1094,신세계 / 暗黑新世界(台) / New World / Sinsegye,2013,韩国,剧情 / 犯罪,134分钟,[tt2625030](https://imdb.com/title/tt2625030)
139,电影,[釜山行 부산행](https://movie.douban.com/subject/25986180/),延尚昊,延尚昊,孔刘 / 郑有美 / ...,🎉140,🌟8.6,1213300,267073,4802,부산행 / 尸杀列车(港) / 尸速列车(台) / Train to Busan / Busanhaeng,2016,韩国,动作 / 惊悚 / 灾难,118分钟,[tt5700672](https://imdb.com/title/tt5700672)
140,电影,[被解救的姜戈 Django Unchained](https://movie.douban.com/subject/6307447/),昆汀·塔伦蒂诺,昆汀·塔伦蒂诺,杰米·福克斯 / 莱昂纳多·迪卡普里奥 / ...,🎉141,🌟8.8,616461,139730,1316,Django Unchained / 被解放的姜戈 / 决杀令(台) / 黑杀令(港) / 被解放的迪亚戈 / 铁血枷锁 / 解放的詹哥 / 奔放的强哥 / 强哥好强,2012,美国,剧情 / 动作 / 西部 / 冒险,163分钟(中国大陆) / 165分钟(美国),[tt1853728](https://imdb.com/title/tt1853728)
141,电影,[神偷奶爸 Despicable Me](https://movie.douban.com/subject/3287562/),皮埃尔·柯芬 / 克里斯·雷纳德,肯·道里欧 / 塞尔希奥·巴勃罗斯 / 辛科·保罗,史蒂夫·卡瑞尔 / 杰森·席格尔 / ...,🎉142,🌟8.7,957401,139645,658,Despicable Me / 卑鄙的我 / 坏蛋奖门人(港) / 偷天换“月”(港) / 我很贱 / Baby的我,2010,美国 / 法国,喜剧 / 动画 / 冒险,95分钟,[tt1323594](https://imdb.com/title/tt1323594)
142,电影,[玛丽和马克思 Mary and Max](https://movie.douban.com/subject/3072124/),亚当·艾略特,亚当·艾略特,托妮·科莱特 / 菲利普·塞默·霍夫曼 / ...,🎉143,🌟9.0,424702,117262,3050,Mary and Max / 巧克力情缘(台) / 同是天涯寂寞客 / 玛丽和麦克斯 / 玛丽与马克思 / 玛丽和马克斯 / 玛丽和马科斯,2009,澳大利亚 / 美国,剧情 / 喜剧 / 动画,92分钟,[tt0978762](https://imdb.com/title/tt0978762)
143,电影,[告白](https://movie.douban.com/subject/4268598/),中岛哲也,中岛哲也 / 凑佳苗,松隆子 / 冈田将生 / ...,🎉144,🌟8.8,677816,185766,3146,告白 / 自白 / 母亲 / Kokuhaku / Confessions,2010,日本,剧情 / 悬疑,106分钟,[tt1590089](https://imdb.com/title/tt1590089)
144,电影,[茶馆](https://movie.douban.com/subject/1461403/),谢添,老舍,于是之 / 郑榕 / ...,🎉145,🌟9.6,151622,42199,388,茶馆 / The Teahouse,1982,中国大陆,剧情 / 历史,118分钟,[tt1395030](https://imdb.com/title/tt1395030)
145,电影,[哪吒闹海](https://movie.douban.com/subject/1307315/),王树忱 / 严定宪 / 徐景达,王树忱,梁正晖 / 邱岳峰 / ...,🎉146,🌟9.2,263449,36929,248,哪吒闹海 / Prince Nezha's Triumph Against Dragon King / Nezha Conquers the Dragon King,1979,中国大陆,动画 / 奇幻 / 冒险,65分钟,[tt0354770](https://imdb.com/title/tt0354770)
146,电影,[大鱼 Big Fish](https://movie.douban.com/subject/1291545/),蒂姆·波顿,Daniel Wallace / 约翰·奥古斯特,伊万·麦克格雷格 / 阿尔伯特·芬尼 / ...,🎉147,🌟8.8,573807,126883,2379,Big Fish / 大鱼奇缘(港) / 大智若鱼(台) / 大鱼老爸,2003,美国,剧情 / 家庭 / 奇幻 / 冒险,125 分钟,[tt0319061](https://imdb.com/title/tt0319061)
147,电影,[九品芝麻官](https://movie.douban.com/subject/1297518/),王晶,[佚名],周星驰 / 吴孟达 / ...,🎉148,🌟8.7,690843,71604,302,九品芝麻官 / 九品芝麻官之白面包青天 / Hail the Judge,1994,中国香港 / 中国大陆,剧情 / 喜剧 / 古装,108分钟,[tt0110201](https://imdb.com/title/tt0110201)
148,电影,[喜宴 囍宴](https://movie.douban.com/subject/1303037/),李安,李安 / 冯光远 / 詹姆斯·夏慕斯,赵文瑄 / 归亚蕾 / ...,🎉149,🌟9.0,368656,92344,1288,囍宴 / The Wedding Banquet,1993,中国台湾 / 美国,剧情 / 喜剧 / 爱情 / 同性 / 家庭,108分钟,[tt0107156](https://imdb.com/title/tt0107156)
149,电影,[色，戒](https://movie.douban.com/subject/1828115/),李安,王蕙玲 / 詹姆斯·夏慕斯 / 张爱玲,梁朝伟 / 汤唯 / ...,🎉150,🌟8.7,822489,158409,4710,"色，戒 / 色|戒 / 色·戒 / 色戒 / Lust, Caution",2007,中国台湾 / 中国大陆 / 美国 / 中国香港,剧情 / 爱情 / 情色,158分钟 / 145分钟(中国大陆),[tt0808357](https://imdb.com/title/tt0808357)
150,电影,[模仿游戏 The Imitation Game](https://movie.douban.com/subject/10463953/),莫滕·泰杜姆,格拉汉姆·摩尔 / 安德鲁·霍奇斯,本尼迪克特·康伯巴奇 / 凯拉·奈特莉 / ...,🎉151,🌟8.8,655172,147036,1670,The Imitation Game / 解码游戏(港) / 模拟游戏,2014,英国 / 美国,剧情 / 同性 / 传记 / 战争,114分钟,[tt2084970](https://imdb.com/title/tt2084970)
151,电影,[头号玩家 Ready Player One](https://movie.douban.com/subject/4920389/),史蒂文·斯皮尔伯格,扎克·佩恩 / 恩斯特·克莱恩,泰伊·谢里丹 / 奥利维亚·库克 / ...,🎉152,🌟8.7,1382755,347084,6379,Ready Player One / 玩家一号 / 挑战者1号(港) / 一级玩家(台) / 一号玩家,2018,美国,动作 / 科幻 / 冒险,140分钟,[tt1677720](https://imdb.com/title/tt1677720)
152,电影,[射雕英雄传之东成西就 射鵰英雄傳之東成西就](https://movie.douban.com/subject/1316510/),刘镇伟,刘镇伟,梁朝伟 / 林青霞 / ...,🎉153,🌟8.7,644836,117042,488,射鵰英雄傳之東成西就 / 东成西就 / 大英雄 (日本) / The Eagle Shooting Heroes,1993,中国香港,喜剧 / 奇幻 / 武侠 / 古装,113分钟(香港) / 98分钟(翡翠高清版) / 103分钟(修复版),[tt0108074](https://imdb.com/title/tt0108074)
153,电影,[花样年华 花樣年華](https://movie.douban.com/subject/1291557/),王家卫,王家卫,梁朝伟 / 张曼玉 / ...,🎉154,🌟8.7,616863,137957,2212,花樣年華 / In the Mood for Love,2000,中国香港,剧情 / 爱情,98分钟,[tt0118694](https://imdb.com/title/tt0118694)
154,电影,[我是山姆 I Am Sam](https://movie.douban.com/subject/1306861/),杰茜·尼尔森,杰茜·尼尔森 / 克里斯汀·约翰逊,西恩·潘 / 达科塔·范宁 / ...,🎉155,🌟9.0,341861,77114,1002,I Am Sam / 不一样的爸爸(港) / 他不笨，他是我爸爸(台),2001,美国,剧情 / 家庭,132 分钟,[tt0277027](https://imdb.com/title/tt0277027)
155,电影,[阳光姐妹淘 써니](https://movie.douban.com/subject/4917726/),姜炯哲,姜炯哲 / 李炳宪,沈恩敬 / 闵孝琳 / ...,🎉156,🌟8.8,594698,146369,1995,써니 / 阳光姊妹淘(港) / 桑尼 / 阳光 / 永远的七公主 / Sunny,2011,韩国,剧情 / 喜剧,124分钟 / 135分钟(导演剪辑版),[tt1937339](https://imdb.com/title/tt1937339)
156,电影,[头脑特工队 Inside Out](https://movie.douban.com/subject/10533913/),彼特·道格特 / 罗纳尔多·德尔·卡门,彼特·道格特 / 罗纳尔多·德尔·卡门 / 梅格·勒福夫 / 乔什·库雷 / 迈克尔·阿恩特 / 西蒙·里奇 / 鲍勃·彼德森 / 比尔·哈德尔 / 艾米·波勒,艾米·波勒 / 菲利丝·史密斯 / ...,🎉157,🌟8.8,623761,146571,1459,Inside Out / 玩转脑朋友(港) / 脑筋急转弯(台) / 头脑大作战 / 大脑环游记 / 脑中小小人 / 大脑内外 / 由内而外 / 头脑总动员,2015,美国,喜剧 / 动画 / 冒险,95分钟,[tt2096673](https://imdb.com/title/tt2096673)
157,电影,[血战钢锯岭 Hacksaw Ridge](https://movie.douban.com/subject/26325320/),梅尔·吉布森,安德鲁·奈特 / 罗伯特·申坎,安德鲁·加菲尔德 / 萨姆·沃辛顿 / ...,🎉158,🌟8.7,790272,183006,4098,Hacksaw Ridge / 钢锯岭 / 钢铁英雄(台) / The Conscientious Objector,2016,澳大利亚 / 美国,剧情 / 传记 / 历史 / 战争,139分钟(中国大陆) / 140分钟(美国),[tt2119532](https://imdb.com/title/tt2119532)
158,电影,[七武士 七人の侍](https://movie.douban.com/subject/1295399/),黑泽明,黑泽明 / 桥本忍 / 小国英雄,三船敏郎 / 志村乔 / ...,🎉159,🌟9.3,201030,47565,786,七人の侍 / 七侠四义(港) / 七剑客(港) / The Seven Samurai / Shichinin no samurai,1954,日本,剧情 / 动作 / 冒险,207分钟 / 160分钟(国际版) / 150分钟(英国初版) / 190分钟(英国1991重映版) / 141分钟(美国初版) / 203分钟(美国重映版),[tt0047478](https://imdb.com/title/tt0047478)
159,电影,[恐怖直播 더 테러 라이브](https://movie.douban.com/subject/21360417/),金秉祐,金秉祐,河正宇 / 李璟荣 / ...,🎉160,🌟8.7,659220,146117,1280,더 테러 라이브 / 死亡“动”新闻(港) / 恐怖攻击直播(台) / The Terror Live / 90 Minutes of Terror,2013,韩国,剧情 / 悬疑 / 犯罪,97分钟,[tt2990738](https://imdb.com/title/tt2990738)
160,电影,[惊魂记 Psycho](https://movie.douban.com/subject/1293181/),阿尔弗雷德·希区柯克,约瑟夫·斯蒂凡诺 / 罗伯特·布洛克,安东尼·博金斯 / 维拉·迈尔斯 / ...,🎉161,🌟9.0,300493,75605,563,Psycho / 精神病患者 / 触目惊心(港) / 精神病人,1960,美国,悬疑 / 惊悚 / 恐怖,109分钟,[tt0054215](https://imdb.com/title/tt0054215)
161,电影,[黑客帝国3：矩阵革命 The Matrix Revolutions](https://movie.douban.com/subject/1302467/),拉娜·沃卓斯基 / 莉莉·沃卓斯基,莉莉·沃卓斯基 / 拉娜·沃卓斯基,基努·里维斯 / 劳伦斯·菲什伯恩 / ...,🎉162,🌟8.8,451817,51262,519,The Matrix Revolutions / 22世纪杀人网络3：惊变世纪(港) / 骇客任务完结篇：最后战役(台) / 廿二世纪杀人网络3：惊变世纪 / 黑客帝国3 / 骇客帝国3,2003,美国,动作 / 科幻,129 分钟,[tt0242653](https://imdb.com/title/tt0242653)
162,电影,[你的名字。 君の名は。](https://movie.douban.com/subject/26683290/),新海诚,新海诚,神木隆之介 / 上白石萌音 / ...,🎉163,🌟8.5,1424526,341676,6400,君の名は。 / 你的名字 / 君之名 / Your Name / Kimi no na wa.,2016,日本,剧情 / 爱情 / 动画,106分钟,[tt5311514](https://imdb.com/title/tt5311514)
163,电影,[电锯惊魂 Saw](https://movie.douban.com/subject/1417598/),温子仁,温子仁 / 雷·沃纳尔,雷·沃纳尔 / 加利·艾尔维斯 / ...,🎉164,🌟8.8,540399,97463,663,Saw / 恐惧斗室(港) / 夺魂锯(台) / 你死我活 / 链锯惊魂,2004,美国,悬疑 / 惊悚 / 恐怖,103分钟,[tt0387564](https://imdb.com/title/tt0387564)
164,电影,"[三块广告牌 Three Billboards Outside Ebbing, Missouri](https://movie.douban.com/subject/26611804/)",马丁·麦克唐纳,马丁·麦克唐纳,弗兰西斯·麦克多蒙德 / 伍迪·哈里森 / ...,🎉165,🌟8.7,828670,205433,4154,"Three Billboards Outside Ebbing, Missouri / 广告牌杀人事件(港) / 意外(台)",2017,英国 / 美国,剧情 / 犯罪,115分钟,[tt5027774](https://imdb.com/title/tt5027774)
165,电影,[达拉斯买家俱乐部 Dallas Buyers Club](https://movie.douban.com/subject/1793929/),让-马克·瓦雷,克莱格·鲍登 / 梅丽莎·沃雷克,马修·麦康纳 / 詹妮弗·加纳 / ...,🎉166,🌟8.8,457473,97019,841,Dallas Buyers Club / 续命枭雄(港) / 药命俱乐部(台) / 达拉斯顾客俱乐部 / 药丸俱乐部(豆友译名),2013,美国,剧情 / 同性 / 传记,117分钟,[tt0790636](https://imdb.com/title/tt0790636)
166,电影,[疯狂原始人 The Croods](https://movie.douban.com/subject/1907966/),柯克·德·米科 / 克里斯·桑德斯,克里斯·桑德斯 / 柯克·德·米科 / 约翰·克里斯,尼古拉斯·凯奇 / 艾玛·斯通 / ...,🎉167,🌟8.7,847368,167955,1103,The Croods / 古鲁家族(港/台) / 克鲁德一家 / 疯狂家族,2013,美国,喜剧 / 动画 / 冒险,98分钟,[tt0481499](https://imdb.com/title/tt0481499)
167,电影,[心迷宫](https://movie.douban.com/subject/25917973/),忻钰坤,忻钰坤 / 冯元良 / 鲁妮凡,霍卫民 / 王笑天 / ...,🎉168,🌟8.7,528865,140136,1482,心迷宫 / 殡棺 / The Coffin in the Mountain / Deep in the Heart,2014,中国大陆,剧情 / 悬疑 / 犯罪,110分钟(中国大陆) / 119分钟(威尼斯电影节),[tt4078856](https://imdb.com/title/tt4078856)
168,电影,[谍影重重3 The Bourne Ultimatum](https://movie.douban.com/subject/1578507/),保罗·格林格拉斯,托尼·吉尔罗伊 / 斯科特·Z·本恩斯 / 乔治·诺非 / 罗伯特·鲁德鲁姆,马特·达蒙 / 朱丽娅·斯蒂尔斯 / ...,🎉169,🌟8.8,423348,59139,449,The Bourne Ultimatum / 叛谍追击3：最后通牒(港) / 神鬼认证：最后通牒 (台) / 伯恩的最后通牒 / 终极伯恩,2007,美国 / 德国 / 法国 / 英国,动作 / 悬疑 / 惊悚,115分钟,[tt0440963](https://imdb.com/title/tt0440963)
169,电影,[上帝之城 Cidade de Deus](https://movie.douban.com/subject/1292208/),费尔南多·梅里尔斯 / 卡迪亚·兰德,保罗·林斯 / 布罗里欧·曼托伐尼,亚历桑德雷·罗德里格斯 / 莱安德鲁·菲尔米诺 / ...,🎉170,🌟9.0,304139,60256,726,Cidade de Deus / 无主之城(港) / 无法无天(台) / City of God,2002,巴西 / 法国,剧情 / 犯罪,130分钟,[tt0317248](https://imdb.com/title/tt0317248)
170,电影,[英雄本色](https://movie.douban.com/subject/1297574/),吴宇森,陈庆嘉 / 吴宇森 / 梁淑华,周润发 / 狄龙 / ...,🎉171,🌟8.6,547850,87235,744,英雄本色 / A Better Tomorrow / Gangland Boss,1986,中国香港,剧情 / 动作 / 犯罪,95分钟,[tt0092263](https://imdb.com/title/tt0092263)
171,电影,[风之谷 風の谷のナウシカ](https://movie.douban.com/subject/1291585/),宫崎骏,宫崎骏,岛本须美 / 松田洋治 / ...,🎉172,🌟8.9,357884,55905,594,風の谷のナウシカ / 风谷少女 / Kaze no tani no Naushika / Nausicaä of the Valley of the Wind,1984,日本,动画 / 奇幻 / 冒险,117分钟,[tt0087544](https://imdb.com/title/tt0087544)
172,电影,[纵横四海 緃横四海](https://movie.douban.com/subject/1295409/),吴宇森,吴宇森 / 高志森 / 秦小珍,周润发 / 张国荣 / ...,🎉173,🌟8.8,430595,81704,477,緃横四海 / Once a Thief,1991,中国香港,剧情 / 喜剧 / 动作 / 犯罪,108分钟,[tt0101020](https://imdb.com/title/tt0101020)
173,电影,[卢旺达饭店 Hotel Rwanda](https://movie.douban.com/subject/1291822/),特瑞·乔治,凯尔·皮尔森 / 特瑞·乔治,唐·钱德尔 / 苏菲·奥康内多 / ...,🎉174,🌟8.9,333734,63659,970,Hotel Rwanda / 卢安达饭店(台),2004,英国 / 南非 / 意大利 / 美国,剧情 / 传记 / 历史 / 战争,121分钟,[tt0395169](https://imdb.com/title/tt0395169)
174,电影,[爱在午夜降临前 Before Midnight](https://movie.douban.com/subject/10808442/),理查德·林克莱特,理查德·林克莱特 / 朱莉·德尔佩 / 伊桑·霍克 / 金·克里桑,伊桑·霍克 / 朱莉·德尔佩 / ...,🎉175,🌟8.9,409004,113648,1811,Before Midnight / 情约半生(港) / 爱在午夜希腊时(台) / 爱在午夜到来时 / 爱在午夜梦回时 / 午夜之前,2013,美国 / 希腊,剧情 / 爱情,109分钟,[tt2209418](https://imdb.com/title/tt2209418)
175,电影,[海街日记 海街diary](https://movie.douban.com/subject/25895901/),是枝裕和,是枝裕和 / 吉田秋生,绫濑遥 / 长泽雅美 / ...,🎉176,🌟8.8,454638,141970,1667,海街diary / 海街女孩日记(港) / Kamakura Diary / Umimachi Diary / Our Little Sister,2015,日本,剧情 / 家庭,127分钟,[tt3756788](https://imdb.com/title/tt3756788)
176,电影,[绿里奇迹 The Green Mile](https://movie.douban.com/subject/1300374/),弗兰克·德拉邦特,弗兰克·德拉邦特,汤姆·汉克斯 / 大卫·摩斯 / ...,🎉177,🌟8.9,334593,62226,902,The Green Mile / 绿色奇迹(台) / 绿色英里 / 绿里 / 绿地,1999,美国,剧情 / 悬疑 / 犯罪 / 奇幻,189 分钟,[tt0120689](https://imdb.com/title/tt0120689)
177,电影,[记忆碎片 Memento](https://movie.douban.com/subject/1304447/),克里斯托弗·诺兰,克里斯托弗·诺兰 / 乔纳森·诺兰,盖·皮尔斯 / 凯瑞-安·莫斯 / ...,🎉178,🌟8.7,610738,127190,1571,Memento / 凶心人(港) / 记忆拼图(台) / 记忆迷局 / 失忆 / Amnesia,2000,美国,剧情 / 悬疑 / 惊悚 / 犯罪,113分钟,[tt0209144](https://imdb.com/title/tt0209144)
178,电影,[小丑 Joker](https://movie.douban.com/subject/27119724/),托德·菲利普斯,托德·菲利普斯 / 斯科特·西尔弗 / 鲍勃·凯恩 / 比尔·芬格 / 杰瑞·罗宾逊,华金·菲尼克斯 / 罗伯特·德尼罗 / ...,🎉179,🌟8.7,1018108,270126,5345,Joker / 小丑起源电影：罗密欧 / Romeo / Joker Origin Movie,2019,美国 / 加拿大,剧情 / 惊悚 / 犯罪,122分钟 / 118分钟(威尼斯电影节),[tt7286456](https://imdb.com/title/tt7286456)
179,电影,[疯狂的石头](https://movie.douban.com/subject/1862151/),宁浩,张承 / 宁浩 / 岳小军,郭涛 / 刘桦 / ...,🎉180,🌟8.6,832244,109533,934,疯狂的石头 / Crazy Stone,2006,中国大陆 / 中国香港,喜剧 / 犯罪,106分钟(香港) / 98分钟(中国大陆),[tt0843270](https://imdb.com/title/tt0843270)
180,电影,[背靠背，脸对脸](https://movie.douban.com/subject/1307856/),黄建新 / 杨亚洲,黄建新 / 孙毅安 / 刘醒龙,牛振华 / 雷恪生 / ...,🎉181,🌟9.5,137439,43550,406,"背靠背，脸对脸 / 背对背，脸对脸 / Back to Back, Face to Face / 秋风醉了",1994,中国大陆 / 中国香港,剧情,148分钟 / 205分钟(电视剧加长版),[tt0109235](https://imdb.com/title/tt0109235)
181,电影,[雨中曲 Singin' in the Rain](https://movie.douban.com/subject/1293460/),斯坦利·多南 / 吉恩·凯利,贝蒂·康登 / 阿多夫·格林,吉恩·凯利 / 唐纳德·奥康纳 / ...,🎉182,🌟9.1,229567,57570,408,Singin' in the Rain / 万花嬉春(港/台) / 雨中情 / 百花嬉春,1952,美国,喜剧 / 爱情 / 歌舞,103分钟,[tt0045152](https://imdb.com/title/tt0045152)
182,电影,[岁月神偷 歲月神偷](https://movie.douban.com/subject/3792799/),罗启锐,罗启锐 / 张婉婷,吴君如 / 任达华 / ...,🎉183,🌟8.7,578173,139333,3097,歲月神偷 / 1969太空漫游 / Echoes Of The Rainbow,2010,中国香港 / 中国大陆,剧情 / 家庭,117分钟 / 120分钟(柏林电影节),[tt1602572](https://imdb.com/title/tt1602572)
183,电影,[2001太空漫游 2001: A Space Odyssey](https://movie.douban.com/subject/1292226/),斯坦利·库布里克,亚瑟·克拉克 / 斯坦利·库布里克,凯尔·杜拉 / 加里·洛克伍德 / ...,🎉184,🌟8.9,335623,104630,1346,2001: A Space Odyssey / 2001：星际漫游 / 2001：太空奥德赛,1968,英国 / 美国,科幻 / 惊悚 / 冒险,149分钟,[tt0062622](https://imdb.com/title/tt0062622)
184,电影,[忠犬八公物语 ハチ公物語](https://movie.douban.com/subject/1959195/),神山征二郎,新藤兼人,仲代达矢 / 八千草薰 / ...,🎉185,🌟9.2,198124,36351,427,ハチ公物語 / 八千公物语 / 阿八的故事 / 忠犬八公 / 八公犬的故事 / The Story of Hachikō,1987,日本,剧情,107 分钟,[tt0093132](https://imdb.com/title/tt0093132)
185,电影,[心灵奇旅 Soul](https://movie.douban.com/subject/24733428/),彼特·道格特 / 凯普·鲍尔斯,彼特·道格特 / 麦克·琼斯 / 凯普·鲍尔斯,杰米·福克斯 / 蒂娜·菲 / ...,🎉186,🌟8.7,995333,361442,6053,Soul / 灵魂奇遇记(港) / 灵魂急转弯(台) / 灵魂 / 心灵,2020,美国,动画 / 音乐 / 奇幻,101分钟,[tt2948372](https://imdb.com/title/tt2948372)
186,电影,[荒蛮故事 Relatos salvajes](https://movie.douban.com/subject/24750126/),达米安·斯兹弗隆,达米安·斯兹弗隆,达里奥·格兰迪内蒂 / 玛丽娅·玛努尔 / ...,🎉187,🌟8.8,448632,123109,1113,Relatos salvajes / 蛮荒故事 / 生命中最抓狂的小事(台) / 无定向丧心病狂(港) / 蛮荒史 / Wild Tales,2014,阿根廷 / 西班牙,剧情 / 喜剧 / 犯罪,122分钟,[tt3011894](https://imdb.com/title/tt3011894)
187,电影,[无间道2 無間道II](https://movie.douban.com/subject/1307106/),刘伟强 / 麦兆辉,麦兆辉 / 庄文强,陈冠希 / 余文乐 / ...,🎉188,🌟8.7,486403,74170,491,無間道II / 无间道前传 / Infernal Affairs II / Infernal Affairs 2 / 无间道II,2003,中国香港,剧情 / 惊悚 / 犯罪,119分钟 / 110 分钟(德国电视版),[tt0369060](https://imdb.com/title/tt0369060)
188,电影,[小偷家族 万引き家族](https://movie.douban.com/subject/27622447/),是枝裕和,是枝裕和,中川雅也 / 安藤樱 / ...,🎉189,🌟8.7,819330,209580,4362,万引き家族 / Shoplifters / Une Affaire de Famille / Manbiki kazoku,2018,日本,剧情 / 家庭 / 犯罪,117分钟(中国大陆) / 121分钟,[tt8075192](https://imdb.com/title/tt8075192)
189,电影,[无敌破坏王 Wreck-It Ralph](https://movie.douban.com/subject/6534248/),瑞奇·摩尔,菲尔·约翰斯顿 / 珍妮弗·李 / 瑞奇·摩尔 / 吉姆·里尔顿 / 约翰·C·赖利 / 山姆·J·莱文 / 贾里德·斯特恩,约翰·C·赖利 / 萨拉·西尔弗曼 / ...,🎉190,🌟8.7,546726,110115,706,Wreck-It Ralph / 破坏王拉尔夫 / 破坏王大冒险,2012,美国,喜剧 / 动画 / 奇幻 / 冒险,101分钟,[tt1772341](https://imdb.com/title/tt1772341)
190,电影,[爆裂鼓手 Whiplash](https://movie.douban.com/subject/25773932/),达米恩·查泽雷,达米恩·查泽雷,迈尔斯·特勒 / J·K·西蒙斯 / ...,🎉191,🌟8.7,595228,156118,2460,Whiplash / 鼓动真我(港) / 进击的鼓手(台) / 鼓动人生(台) / 鞭打 / The Whiplash Drummer,2014,美国,剧情 / 音乐,107分钟,[tt2582802](https://imdb.com/title/tt2582802)
191,电影,[冰川时代 Ice Age](https://movie.douban.com/subject/1291578/),卡洛斯·沙尔丹哈 / 克里斯·韦奇,迈克尔·伯格 / 迈克尔·J·威尔森 / 彼得·阿克曼,雷·罗马诺 / 约翰·雷吉扎莫 / ...,🎉192,🌟8.6,622306,61561,287,Ice Age / 冰河世纪 / 冰原历险记,2002,美国,喜剧 / 动画 / 冒险,81分钟,[tt0268380](https://imdb.com/title/tt0268380)
192,电影,[恐怖游轮 Triangle](https://movie.douban.com/subject/3011051/),克里斯托弗·史密斯,克里斯托弗·史密斯,梅利莎·乔治 / 利亚姆·海姆斯沃斯 / ...,🎉193,🌟8.5,875436,187077,2277,Triangle / 汪洋血迷宮(台) / 轮回三角 / 三角形 / 迷失三角洲,2009,英国 / 澳大利亚,剧情 / 悬疑 / 惊悚,99 分钟,[tt1187064](https://imdb.com/title/tt1187064)
193,电影,[贫民窟的百万富翁 Slumdog Millionaire](https://movie.douban.com/subject/2209573/),丹尼·博伊尔 / 洛芙琳·坦丹,西蒙·博福伊 / 维卡斯·史瓦卢普,戴夫·帕特尔 / 沙鲁巴·舒克拉 / ...,🎉194,🌟8.6,751608,110056,2939,Slumdog Millionaire / 一百万零一夜(港) / 贫民百万富翁(台) / 贫民富翁 / 山寨富翁 / 阳光小阿三(豆友译名),2008,英国,剧情 / 爱情,120分钟,[tt1010048](https://imdb.com/title/tt1010048)
